species;substances;substancess_reference;family;family_reference
Tetramelas papillatus;atranorin;italic;Caliciaceae;gbif
Texosporium sancti-jacobi;calycin;lias;Caliciaceae;gbif
Thalloloma anguinum;lichexanthone;lias;Graphidaceae;gbif
Thalloloma astroideum;isohypocrelline;lias;Graphidaceae;gbif
Thalloloma buriticum;isohypocrelline;lias;Graphidaceae;gbif
Thalloloma cinnabarinum;isohypocrelline;lias;Graphidaceae;gbif
Thalloloma haemographum;isohypocrelline;lias;Graphidaceae;gbif
Thalloloma halonatum;protocetraric acid;lias;Graphidaceae;gbif
Thalloloma hypoleptum;lichexanthone;lias;Graphidaceae;gbif
Thalloloma isidiosum;constictic acid, isohypocrelline, stictic acid;lias;Graphidaceae;gbif
Thalloloma janeirense;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), unknown/unidentified compound(s);lias;Graphidaceae;gbif
Thalloloma microsporum;isohypocrelline;lias;Graphidaceae;gbif
Thalloloma pontalense;stictic acid;lias;Graphidaceae;gbif
Thamnolia subuliformis;baeomycesic acid, squamatic acid;lias;Icmadophilaceae;gbif
Thamnolia vermicularis;thamnolic acid;italic;Icmadophilaceae;gbif
Thamnolia vermicularis;thamnolic acid;italic;Icmadophilaceae;gbif
Thamnolia vermicularis;thamnolic acid;lias;Icmadophilaceae;gbif
Thecaria montagnei;isohypocrelline;lias;Graphidaceae;gbif
Thelidium fontigenum;unknown/unidentified anthraquinone(s), unknown/unidentified pigment(s);lias;Verrucariaceae;gbif
Thelocarpon coccosporum;pulvinic acid;lias;Thelocarpaceae;gbif
Thelocarpon epibolum;pulvinic acid;lias;Thelocarpaceae;gbif
Thelocarpon epibolum;pulvinic acid;lias;Thelocarpaceae;gbif
Thelocarpon impressulum;pulvinic acid;lias;Thelocarpaceae;gbif
Thelocarpon intermediellum;pulvinic acid;lias;Thelocarpaceae;gbif
Thelocarpon laureri;pulvinic acid;lias;Thelocarpaceae;gbif
Thelocarpon lichenicola;pulvinic acid;lias;Thelocarpaceae;gbif
Thelocarpon lichenicola;pulvinic acid;lias;Thelocarpaceae;gbif
Thelocarpon macchiae;pulvinic acid;italic;Thelocarpaceae;gbif
Thelocarpon olivaceum;pulvinic acid;lias;Thelocarpaceae;gbif
Thelocarpon opertum;pulvinic acid;lias;Thelocarpaceae;gbif
Thelocarpon pallidum;pulvinic acid;lias;Thelocarpaceae;gbif
Thelocarpon robustum;pulvinic acid;lias;Thelocarpaceae;gbif
Thelocarpon saxicola;pulvinic acid;lias;Thelocarpaceae;gbif
Thelocarpon sphaerosporum;pulvinic acid;lias;Thelocarpaceae;gbif
Thelocarpon superellum;pulvinic acid;lias;Thelocarpaceae;gbif
Thelomma californicum;3-chlorodivaricatic acid, skyrin (rhodophyscin), variolaric acid;lias;Caliciaceae;gbif
Thelomma mammosum;3-chlorodivaricatic acid, norstictic acid, salazinic acid;lias;Caliciaceae;gbif
Thelomma occidentale;epanorin, rhizocarpic acid, usnic acid;lias;Caliciaceae;gbif
Thelomma ocellatum;atranorin, epanorin, norstictic acid, rhizocarpic acid, usnic acid;lias;Caliciaceae;gbif
Thelomma santessonii;divaricatic acid, norstictic acid, salazinic acid;lias;Caliciaceae;gbif
Thelotrema albo-olivaceum;constictic acid, cryptostictic acid, stictic acid, α-acetylconstictic acid;lias;Graphidaceae;gbif
Thelotrema antoninii;constictic acid, cryptostictic acid, stictic acid, unknown/unidentified compound(s);lias;Graphidaceae;gbif
Thelotrema berkeleyanum;conpsoromic acid, psoromic acid;lias;Graphidaceae;gbif
Thelotrema bicavatum;connorstictic acid, norstictic acid;lias;Graphidaceae;gbif
Thelotrema bicinctulum;constictic acid, cryptostictic acid, hypostictic acid, stictic acid, α-acetylconstictic acid, α-acetylhypoconstictic acid;lias;Graphidaceae;gbif
Thelotrema canarense;norstictic acid;lias;Graphidaceae;gbif
Thelotrema capetribulense;constictic acid, cryptostictic acid, hypoconstictic acid, hypostictic acid, stictic acid;lias;Graphidaceae;gbif
Thelotrema crassisporum;constictic acid, stictic acid;lias;Graphidaceae;gbif
Thelotrema cryptotrema;psoromic acid;lias;Graphidaceae;gbif
Thelotrema cupulare;constictic acid, stictic acid, α-acetylconstictic acid;lias;Graphidaceae;gbif
Thelotrema cyphelloides;constictic acid, hypostictic acid, stictic acid;lias;Graphidaceae;gbif
Thelotrema eungellaense;connorstictic acid, norstictic acid;lias;Graphidaceae;gbif
Thelotrema euphorbiae;hypoconstictic acid, hyposalazinic acid, hypostictic acid, stictic acid, α-acetylhypoconstictic acid;lias;Graphidaceae;gbif
Thelotrema fissuratum;psoromic acid;lias;Graphidaceae;gbif
Thelotrema foveolare;2'-o-demethylpsoromic acid, psoromic acid;lias;Graphidaceae;gbif
Thelotrema gallowayanum;connorstictic acid, norstictic acid;lias;Graphidaceae;gbif
Thelotrema glaucopallens;consalazinic acid, constictic acid, stictic acid, α-acetylconstictic acid;lias;Graphidaceae;gbif
Thelotrema hians;salazinic acid, stictic acid;lias;Graphidaceae;gbif
Thelotrema hnatiukii;constictic acid, cryptostictic acid, norstictic acid, stictic acid;lias;Graphidaceae;gbif
Thelotrema hypoprotocetraricum;4-o-demethylnotatic acid, hypoprotocetraric acid;lias;Graphidaceae;gbif
Thelotrema isidioides;hypoconstictic acid, hypostictic acid, stictic acid;lias;Graphidaceae;gbif
Thelotrema isidiophorum;constictic acid, stictic acid;lias;Graphidaceae;gbif
Thelotrema lepadinum;unknown/unidentified pigment(s);lias;Graphidaceae;gbif
Thelotrema leucophthalmum;constictic acid, cryptostictic acid, hypostictic acid, stictic acid, α-acetylconstictic acid;lias;Graphidaceae;gbif
Thelotrema mongkolsukii;hyposalazinic acid, hypostictic acid;lias;Graphidaceae;gbif
Thelotrema myriocarpum;constictic acid, cryptostictic acid, hypostictic acid, stictic acid, α-acetylconstictic acid, α-acetylhypoconstictic acid;lias;Graphidaceae;gbif
Thelotrema nostalgicum;fumarprotocetraric acid, protocetraric acid;lias;Graphidaceae;gbif
Thelotrema occlusum;4-o-demethylnotatic acid, 4-o-methylhypoprotocetraric acid, hypoprotocetraric acid;lias;Graphidaceae;gbif
Thelotrema patwardhanii;connorstictic acid, norstictic acid;lias;Graphidaceae;gbif
Thelotrema porinaceum;connorstictic acid, norstictic acid;lias;Graphidaceae;gbif
Thelotrema porinoides;constictic acid, cryptostictic acid, hypoconstictic acid, hypostictic acid, stictic acid, α-acetylhypoconstictic acid;lias;Graphidaceae;gbif
Thelotrema pseudoschizostomum;constictic acid, stictic acid;lias;Graphidaceae;gbif
Thelotrema refertum;4-o-demethylnotatic acid, hypoprotocetraric acid;lias;Graphidaceae;gbif
Thelotrema saxicola;2'-o-demethylpsoromic acid, psoromic acid, subpsoromic acid;lias;Graphidaceae;gbif
Thelotrema subexpallescens;constictic acid, stictic acid, α-acetylconstictic acid;lias;Graphidaceae;gbif
Thelotrema subweberi;connorstictic acid, norstictic acid, unknown/unidentified compound(s);lias;Graphidaceae;gbif
Thelotrema thesaurum;constictic acid, cryptostictic acid, hypoconstictic acid, hypostictic acid, stictic acid, α-acetylconstictic acid;lias;Graphidaceae;gbif
Thelotrema triseptatum;hypoconstictic acid, stictic acid;lias;Graphidaceae;gbif
Thelotrema zimbabwense;constictic acid, cryptostictic acid, stictic acid;lias;Graphidaceae;gbif
Thysanothecium hookeri;4-o-demethylbarbatic acid, barbatic acid, usnic acid;lias;Cladoniaceae;gbif
Thysanothecium hookeri;3-o-methylasemone, 5,7-dichloro-3-o-methylnorlichexanthone, usnic acid;lias;Cladoniaceae;gbif
Thysanothecium scutellatum;divaricatic acid, nordivaricatic acid, stenosporonic acid, usnic acid;lias;Cladoniaceae;gbif
Thysanothecium sorediatum;atranorin, divaricatic acid, gyrophoric acid, sekikaic acid, stenosporic acid, usnic acid;lias;Cladoniaceae;gbif
Toensbergia leucococca;alectorialic acid;italic;Sporastatiaceae;gbif
Toninia alutacea;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Ramalinaceae;gbif
Toninia bullata;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Ramalinaceae;gbif
Toninia diffracta;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Ramalinaceae;gbif
Toninia massata;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Ramalinaceae;gbif
Toninia opuntioides;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Ramalinaceae;gbif
Toninia physaroides;unknown/unidentified fatty acid(s);lias;Ramalinaceae;gbif
Toninia physaroides;unknown/unidentified fatty acid(s);lias;Ramalinaceae;gbif
Toninia squalescens;stictic acid;lias;Sphaerophoraceae;gbif
Toninia subdiffracta;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Ramalinaceae;gbif
Toninia thiospora;unknown/unidentified compound(s);lias;Ramalinaceae;gbif
Toninia tristis;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), unknown/unidentified pigment(s);lias;Ramalinaceae;gbif
Toninia tristis;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), unknown/unidentified pigment(s);lias;Ramalinaceae;gbif
Toninia tristis;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Ramalinaceae;gbif
Toninia tristis;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Ramalinaceae;gbif
Toninia tristis;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Ramalinaceae;gbif
Toninia tumidula;atranorin;lias;Porpidiaceae;gbif
Toninia wetmorei;gyrophoric acid, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), usnic acid;lias;Ramalinaceae;gbif
Topelia californica;unknown/unidentified pigment(s);lias;Stictidaceae;gbif
Topeliopsis athallina;constictic acid, stictic acid;lias;Graphidaceae;gbif
Topeliopsis azorica;cryptostictic acid, hyposalazinic acid, hypostictic acid, α-acetylconstictic acid;lias;Graphidaceae;gbif
Topeliopsis darlingtonii;consalazinic acid, constictic acid, stictic acid, α-acetylconstictic acid;lias;Graphidaceae;gbif
Topeliopsis elixii;hypoconstictic acid, hyposalazinic acid, hypostictic acid, α-acetylconstictic acid;lias;Graphidaceae;gbif
Topeliopsis guaiquinimae;constictic acid, stictic acid;lias;Graphidaceae;gbif
Topeliopsis kantvilasii;constictic acid, cryptostictic acid, stictic acid, α-acetylhypoconstictic acid;lias;Graphidaceae;gbif
Topeliopsis lomatiae;lecanoric acid;lias;Graphidaceae;gbif
Topeliopsis macrocarpa;cryptostictic acid, peristictic acid, stictic acid, substictic acid;lias;Graphidaceae;gbif
Topeliopsis novae-zelandiae;constictic acid, cryptostictic acid, stictic acid, α-acetylhypoconstictic acid;lias;Graphidaceae;gbif
Topeliopsis patagonica;stictic acid;lias;Graphidaceae;gbif
Topeliopsis rugosa;constictic acid, cryptostictic acid, stictic acid;lias;Graphidaceae;gbif
Topeliopsis tasmanica;constictic acid, cryptostictic acid, hypostictic acid, stictic acid, α-acetylhypoconstictic acid;lias;Graphidaceae;gbif
Trapelia coarctata;5-o-methylhiascic acid;italic;Trapeliaceae;gbif
Trapelia coarctata;gyrophoric acid;lias;Trapeliaceae;gbif
Trapelia collaris;5-o-methylhiascic acid, gyrophoric acid;italic;Trapeliaceae;gbif
Trapelia corticola;gyrophoric acid;italic;Trapeliaceae;gbif
Trapelia corticola;gyrophoric acid;lias;Trapeliaceae;gbif
Trapelia geochroa;gyrophoric acid;lias;Baeomycetaceae;gbif
Trapelia glebulosa;5-o-methylhiascic acid, gyrophoric acid;italic;Trapeliaceae;gbif
Trapelia herteliana;gyrophoric acid;lias;Trapeliaceae;gbif
Trapelia involuta;5-o-methylhiascic acid, gyrophoric acid;italic;Trapeliaceae;gbif
Trapelia involuta;gyrophoric acid;lias;Trapeliaceae;gbif
Trapelia macrospora;gyrophoric acid;lias;Trapeliaceae;gbif
Trapelia mooreana;gyrophoric acid;lias;Baeomycetaceae;gbif
Trapelia obtegens;5-o-methylhiascic acid, gyrophoric acid;italic;Trapeliaceae;gbif
Trapelia placodioides;gyrophoric acid;italic;Trapeliaceae;gbif
Trapelia placodioides;gyrophoric acid;lias;Trapeliaceae;gbif
Trapelia rediviva;gyrophoric acid;lias;Trapeliaceae;gbif
Trapeliopsis bisorediata;gyrophoric acid;lias;Trapeliaceae;gbif
Trapeliopsis californica;lecanoric acid;lias;Trapeliaceae;gbif
Trapeliopsis flexuosa;gyrophoric acid;italic;Trapeliaceae;gbif
Trapeliopsis flexuosa;gyrophoric acid;lias;Trapeliaceae;gbif
Trapeliopsis glaucolepidea;unknown/unidentified compound(s);lias;Trapeliaceae;gbif
Trapeliopsis granulosa;gyrophoric acid;italic;Trapeliaceae;gbif
Trapeliopsis granulosa;gyrophoric acid;lias;Trapeliaceae;gbif
Trapeliopsis parilis;gyrophoric acid;lias;Trapeliaceae;gbif
Trapeliopsis pseudogranulosa;gyrophoric acid;italic;Trapeliaceae;gbif
Trapeliopsis pseudogranulosa;gyrophoric acid;lias;Trapeliaceae;gbif
Trapeliopsis steppica;lecanoric acid;lias;Trapeliaceae;gbif
Trapeliopsis viridescens;gyrophoric acid;italic;Trapeliaceae;gbif
Trapeliopsis viridescens;gyrophoric acid;lias;Trapeliaceae;gbif
Trapeliopsis wallrothii;gyrophoric acid;italic;Trapeliaceae;gbif
Trapeliopsis wallrothii;gyrophoric acid;lias;Trapeliaceae;gbif
Tremolecia atrata;stictic acid, unknown/unidentified compound(s);lias;Hymeneliaceae;gbif
Triclinum sorediatum;atranorin, divaricatic acid, protocetraric acid, zeorin (hopane-6α,22-diol);lias;Ramalinaceae;gbif
Trypetheliopsis coccinea;unknown/unidentified anthraquinone(s);lias;Monoblastiaceae;gbif
Trypethelium aeneum;unknown/unidentified anthraquinone(s);lias;Trypetheliaceae;gbif
Trypethelium cartilagineum;unknown/unidentified anthraquinone(s);lias;Trypetheliaceae;gbif
Trypethelium eluteriae;unknown/unidentified anthraquinone(s);lias;Trypetheliaceae;gbif
Trypethelium galligenum;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), unknown/unidentified anthraquinone(s);lias;Trypetheliaceae;gbif
Trypethelium neogalbineum;lichexanthone, unknown/unidentified anthraquinone(s);lias;Trypetheliaceae;gbif
Trypethelium ochroleucum;lichexanthone;lias;Trypetheliaceae;gbif
Trypethelium platystomum;unknown/unidentified anthraquinone(s);lias;Trypetheliaceae;gbif
Trypethelium pupula;lichexanthone;lias;Trypetheliaceae;gbif
Trypethelium subcatervarium;unknown/unidentified anthraquinone(s);lias;Trypetheliaceae;gbif
Tuckermanella arizonica;lichesterinic acid, unknown/unidentified fatty acid(s);lias;Parmeliaceae;gbif
Tuckermanella coralligera;lichesterinic acid, unknown/unidentified fatty acid(s);lias;Parmeliaceae;gbif
Tuckermanella fendleri;lichesterinic acid, unknown/unidentified fatty acid(s);lias;Parmeliaceae;gbif
Tuckermanella pseudoweberi;caperatic acid, unknown/unidentified compound(s);lias;Parmeliaceae;gbif
Tuckermanella subfendleri;caperatic acid;lias;Parmeliaceae;gbif
Tuckermanella weberi;olivetoric acid, physodic acid;lias;Parmeliaceae;gbif
Tuckermannopsis americana;alectoronic acid, atranorin;lias;Parmeliaceae;gbif
Tuckermannopsis chlorophylla;protolichesterinic acid;lias;Parmeliaceae;gbif
Tuckermannopsis ciliaris;olivetoric acid;lias;Parmeliaceae;gbif
Tuckermannopsis orbata;protolichesterinic acid;lias;Parmeliaceae;gbif
Tuckermannopsis platyphylla;lichesterinic acid, protolichesterinic acid, unknown/unidentified fatty acid(s);lias;Parmeliaceae;gbif
Tuckermannopsis subalpina;lichesterinic acid, protolichesterinic acid;lias;Parmeliaceae;gbif
Tuckermannopsis ulophylloides;protolichesterinic acid;lias;Parmeliaceae;gbif
Tuckneraria ahtii;lichesterinic acid, usnic acid;lias;Parmeliaceae;gbif
Tuckneraria sikkimensis;lichesterinic acid, usnic acid;lias;Parmeliaceae;gbif
Tuckneraria togashii;lichesterinic acid, protolichesterinic acid, usnic acid;lias;Parmeliaceae;gbif
Tylophoron crassiusculum;lecanoric acid;lias;;gbif
Tylophoron galapagoense;lecanoric acid, unknown/unidentified pigment(s);lias;Arthoniaceae;gbif
Tylophoron moderatum;2'-o-methylperlatolic acid, lecanoric acid;lias;Arthoniaceae;gbif
Tylophoron protrudens;lecanoric acid, lichexanthone, unknown/unidentified pigment(s);lias;Arthoniaceae;gbif
Tylophoron stalactiticum;gyrophoric acid, roccellic acid, unknown/unidentified compound(s);lias;Arthoniaceae;gbif
Tylothallia biformigera;2-o-methylperlatolic acid, atranorin, fumarprotocetraric acid, norstictic acid, unknown/unidentified compound(s);lias;Lecanoraceae;gbif
Tylothallia pahiensis;atranorin, gangaleoidin, lecideoidin;lias;Lecanoraceae;gbif
Umbilicaria africana;gyrophoric acid;lias;Umbilicariaceae;gbif
Umbilicaria americana;2,4,5-tri-o-methylhiascic acid, gyrophoric acid, ovoic acid;lias;Umbilicariaceae;gbif
Umbilicaria angulata;gyrophoric acid, hiascic acid, lecanoric acid, umbilicaric acid;lias;Umbilicariaceae;gbif
Umbilicaria aprina;gyrophoric acid;lias;Umbilicariaceae;gbif
Umbilicaria arctica;gyrophoric acid, norstictic acid;lias;Umbilicariaceae;gbif
Umbilicaria cinereorufescens;gyrophoric acid;lias;Umbilicariaceae;gbif
Umbilicaria crustulosa;gyrophoric acid;lias;Umbilicariaceae;gbif
Umbilicaria cylindrica;norstictic acid;lias;Umbilicariaceae;gbif
Umbilicaria decussata;gyrophoric acid;lias;Umbilicariaceae;gbif
Umbilicaria dendrophora;norstictic acid;lias;Umbilicariaceae;gbif
Umbilicaria deusta;gyrophoric acid, umbilicaric acid;lias;Umbilicariaceae;gbif
Umbilicaria grisea;gyrophoric acid, lecanoric acid, umbilicaric acid;lias;Umbilicariaceae;gbif
Umbilicaria havaasii;gyrophoric acid;lias;Umbilicariaceae;gbif
Umbilicaria hirsuta;gyrophoric acid;lias;Umbilicariaceae;gbif
Umbilicaria hyperborea;gyrophoric acid, umbilicaric acid;lias;Umbilicariaceae;gbif
Umbilicaria iberica;gyrophoric acid, umbilicaric acid;lias;Umbilicariaceae;gbif
Umbilicaria isidiosa;gyrophoric acid;lias;Umbilicariaceae;gbif
Umbilicaria krascheninnikovii;atranorin, gyrophoric acid, lecanoric acid;lias;Umbilicariaceae;gbif
Umbilicaria leiocarpa;norstictic acid;lias;Umbilicariaceae;gbif
Umbilicaria magnussonii;gyrophoric acid;lias;;gbif
Umbilicaria mammulata;gyrophoric acid;lias;Umbilicariaceae;gbif
Umbilicaria meizospora;gyrophoric acid;italic;Umbilicariaceae;gbif
Umbilicaria muehlenbergii;gyrophoric acid;lias;Umbilicariaceae;gbif
Umbilicaria murihikuana;gyrophoric acid, norstictic acid;lias;Umbilicariaceae;gbif
Umbilicaria nylanderiana;gyrophoric acid;lias;Umbilicariaceae;gbif
Umbilicaria phaea;gyrophoric acid, lecanoric acid, umbilicaric acid;lias;Umbilicariaceae;gbif
Umbilicaria polyphylla;gyrophoric acid, umbilicaric acid;lias;Umbilicariaceae;gbif
Umbilicaria polyrrhiza;gyrophoric acid, umbilicaric acid;lias;Umbilicariaceae;gbif
Umbilicaria proboscidea;gyrophoric acid, norstictic acid;lias;Umbilicariaceae;gbif
Umbilicaria rigida;norstictic acid;lias;Umbilicariaceae;gbif
Umbilicaria soralifera;gyrophoric acid;lias;Umbilicariaceae;gbif
Umbilicaria spodochroa;gyrophoric acid;lias;Umbilicariaceae;gbif
Umbilicaria subglabra;gyrophoric acid;lias;Umbilicariaceae;gbif
Umbilicaria torrefacta;gyrophoric acid, stictic acid, umbilicaric acid;lias;Umbilicariaceae;gbif
Umbilicaria vellea;gyrophoric acid, umbilicaric acid;lias;Umbilicariaceae;gbif
Umbilicaria virginis;gyrophoric acid, norstictic acid, stictic acid;lias;Umbilicariaceae;gbif
Usnea alboverrucata;conpsoromic acid, galbinic acid, norstictic acid, protocetraric acid, psoromic acid, salazinic acid, scabrosin(s) – unspecified, stictic acid, usnic acid;lias;Parmeliaceae;gbif
